parcelnum	hemis	X	Y	Z	lobe	region	network	yeo7	yeo17	lateral_groups	final_groups	opposite_groups	color
212	L	-13.38	12.26	-15.68	Frontal	lateralorbitofrontal	none	7Networks_5	17Networks_10	456	347	496	#00FFFF
213	L	-7.97	12.41	-17.02	Frontal	medialorbitofrontal	none	7Networks_5	17Networks_10	455	348	497	#00FFFF
214	L	-54.63	-26.78	-12.83	Temporal	middletemporal	Frontal-Parietal	7Networks_7	17Networks_17	486	248	466	#66FF00
215	L	-59.84	-15.35	-11	Temporal	middletemporal	Default	7Networks_7	17Networks_17	558	141	394	#FF6600
216	L	-50.85	-8.38	-23.24	Temporal	middletemporal	Default	7Networks_7	17Networks_17	557	142	395	#FF6600
217	L	-43.34	-2.85	-28.34	Temporal	middletemporal	Frontal-Parietal	7Networks_5	17Networks_9	485	249	467	#66FF00
218	L	-40.02	6.15	-30.74	Temporal	middletemporal	Default	7Networks_5	17Networks_9	556	143	396	#FF6600
219	L	-34.55	11.95	-24.46	Temporal	superiortemporal	none	7Networks_5	17Networks_9	454	349	498	#00FFFF
220	L	-27.52	-43.13	-8.93	Temporal	fusiform	Parieto-Occipital	7Networks_1	17Networks_15	421	419	531	#0066FF
221	L	-27.6	-33.73	-18.17	Temporal	parahippocampal	none	7Networks_5	17Networks_15	453	350	499	#00FFFF
222	L	-23.1	-25.45	-24.82	Temporal	entorhinal	none	7Networks_5	17Networks_9	452	351	500	#00FFFF
223	L	-21.43	-74.63	-10.34	Occipital	fusiform	Second-Visual	7Networks_1	17Networks_5	389	474	563	#CC00FF
224	L	-31.46	-53.1	-15.8	Temporal	fusiform	Second-Visual	7Networks_3	17Networks_5	388	475	564	#CC00FF
225	L	-41.58	-60.37	-13.06	Temporal	inferiortemporal	First-Dorsal-Attention	7Networks_3	17Networks_12	538	184	414	#FFFF00
226	L	-31.29	8.74	-32.44	Temporal	temporalpole	Default	7Networks_5	17Networks_9	555	144	397	#FF6600
227	L	-60.23	-18.72	-22.61	Temporal	inferiortemporal	Ventral-Attention-Language	7Networks_7	17Networks_17	324	614	628	#FF0033
228	L	-24.54	7.71	-31.8	Temporal	temporalpole	none	7Networks_5	17Networks_9	451	352	501	#00FFFF
229	L	-32.25	-5.73	-37.89	Temporal	inferiortemporal	none	7Networks_5	17Networks_9	450	353	502	#00FFFF
230	L	-61.32	-44.27	-12.86	Temporal	inferiortemporal	Frontal-Parietal	7Networks_6	17Networks_13	484	250	468	#66FF00
231	L	-42.14	-16.31	-34.79	Temporal	inferiortemporal	none	7Networks_5	17Networks_9	449	354	503	#00FFFF
232	L	-62.07	-31.07	-14.58	Temporal	inferiortemporal	Frontal-Parietal	7Networks_7	17Networks_13	483	251	469	#66FF00
233	L	-49.91	-30.29	-23.22	Temporal	inferiortemporal	none	7Networks_5	17Networks_9	448	355	504	#00FFFF
234	L	-50.52	-47.68	-18.73	Temporal	inferiortemporal	Cingulo-opercular	7Networks_5	17Networks_9	585	50	367	#FF0000
235	L	-29.15	-8.35	-29.78	Temporal	entorhinal	none	7Networks_5	17Networks_9	447	356	505	#00FFFF
236	L	-30.74	-18.24	-29.83	Temporal	fusiform	none	7Networks_5	17Networks_9	446	357	506	#00FFFF
237	L	-39.6	-19.33	-23.2	Temporal	inferiortemporal	none	7Networks_5	17Networks_9	445	358	507	#00FFFF
238	L	-42.7	-38.1	-19.61	Temporal	inferiortemporal	none	7Networks_5	17Networks_9	444	359	508	#00FFFF
239	L	-40.11	-44.96	-19.26	Temporal	inferiortemporal	Second-Visual	7Networks_3	17Networks_5	387	476	565	#CC00FF
240	L	-37.01	-30.14	-16.36	Temporal	fusiform	Default	7Networks_5	17Networks_9	554	145	398	#FF6600
241	L	-34.9	-27.11	-26.19	Temporal	fusiform	none	7Networks_5	17Networks_9	443	360	509	#00FFFF
242	L	-32.04	-37.88	-18.13	Temporal	fusiform	none	7Networks_5	17Networks_9	442	361	510	#00FFFF
243	L	-20.01	-46.45	-11.81	Occipital	fusiform	none	7Networks_1	17Networks_15	441	362	511	#00FFFF
244	L	-6.09	-102.59	6.15	Occipital	lateraloccipital	Second-Visual	7Networks_1	17Networks_1	386	477	566	#CC00FF
245	L	-4.66	-103.12	-10.05	Occipital	lateraloccipital	First-Visual-V1+	7Networks_1	17Networks_1	536	191	416	#99FF00
246	L	-3.2	-91.68	2.41	Occipital	lingual	First-Visual-V1+	7Networks_1	17Networks_1	535	192	417	#99FF00
247	L	-6.31	-94.48	-16.38	Occipital	lateraloccipital	First-Visual-V1+	7Networks_1	17Networks_1	534	193	418	#99FF00
248	L	-14.13	-102.86	0.16	Occipital	lateraloccipital	First-Visual-V1+	7Networks_1	17Networks_1	533	194	419	#99FF00
249	L	-34.89	-73.33	-4.62	Occipital	fusiform	Second-Visual	7Networks_1	17Networks_5	385	478	567	#CC00FF
250	L	-25.72	-91.86	-3.45	Occipital	lateraloccipital	First-Visual-V1+	7Networks_1	17Networks_1	532	195	420	#99FF00
251	L	-25.49	-100.05	-4.42	Occipital	lateraloccipital	First-Visual-V1+	7Networks_1	17Networks_1	531	196	421	#99FF00
252	L	-16.23	-100.96	-13.14	Occipital	lateraloccipital	First-Visual-V1+	7Networks_1	17Networks_1	530	197	422	#99FF00
253	L	-15.05	-91.78	-9.95	Occipital	lateraloccipital	First-Visual-V1+	7Networks_1	17Networks_1	529	198	423	#99FF00
254	L	-33.95	-83.87	-13.97	Occipital	fusiform	Second-Visual	7Networks_1	17Networks_1	384	479	568	#CC00FF
255	L	-12.86	-79.22	-10.88	Occipital	lingual	Second-Visual	7Networks_1	17Networks_1	383	480	569	#CC00FF
256	L	-1.66	-96.18	6.37	Occipital	pericalcarine	First-Visual-V1+	7Networks_1	17Networks_1	528	199	424	#99FF00
257	L	-8.43	-74.15	10.75	Occipital	pericalcarine	First-Visual-V1+	7Networks_1	17Networks_2	527	200	425	#99FF00
258	L	-5.85	-92.38	24.88	Occipital	superiorparietal	Second-Visual	7Networks_1	17Networks_2	382	481	570	#CC00FF
259	L	-5.41	-60.82	7.1	Parietal	lingual	First-Visual-V1+	7Networks_1	17Networks_2	526	201	426	#99FF00
260	L	-5.65	-80.18	17.54	Occipital	pericalcarine	First-Visual-V1+	7Networks_1	17Networks_2	525	202	427	#99FF00
261	L	-2.31	-79.71	29.06	Occipital	cuneus	Second-Visual	7Networks_1	17Networks_2	381	482	571	#CC00FF
262	L	-3.01	-66.78	20.1	Parietal	cuneus	Parieto-Occipital	7Networks_1	17Networks_2	420	420	532	#0066FF
263	L	-12.78	-64.34	12.22	Parietal	cuneus	Second-Visual	7Networks_1	17Networks_2	380	483	572	#CC00FF
264	L	-17.57	-63.69	23.77	Parietal	precuneus	Parieto-Occipital	7Networks_1	17Networks_15	419	421	533	#0066FF
265	L	-19.48	-8.84	-22.69	Temporal	???	none	7Networks_5	17Networks_9	440	363	512	#00FFFF
266	L	-20.93	-21.8	-17.75	Temporal	parahippocampal	none	7Networks_5	17Networks_15	439	364	513	#00FFFF
267	L	-16.49	-30.06	-14.58	Parietal	parahippocampal	none	7Networks_7	17Networks_15	438	365	514	#00FFFF
268	L	-26.71	-15.69	-20.38	Temporal	???	none	FreeSurfer_Defined_Medial_Wall	FreeSurfer_Defined_Medial_Wall	437	366	515	#00FFFF
269	L	-24.08	-35.27	-8.6	None	???	none	FreeSurfer_Defined_Medial_Wall	FreeSurfer_Defined_Medial_Wall	436	367	516	#00FFFF
270	L	-27.66	-39.79	-4.2	None	???	none	FreeSurfer_Defined_Medial_Wall	FreeSurfer_Defined_Medial_Wall	435	368	517	#00FFFF
271	L	-8.1	40.5	47	Frontal	superiorfrontal	Ventral-Attention-Language	7Networks_7	17Networks_17	323	615	629	#FF0033
272	L	-16.28	32.34	43.26	Frontal	superiorfrontal	Default	7Networks_7	17Networks_17	553	146	399	#FF6600
273	L	-13.6	44.02	40.49	Frontal	superiorfrontal	Frontal-Parietal	7Networks_7	17Networks_17	482	252	470	#66FF00
274	L	-22.46	39	37.39	Frontal	rostralmiddlefrontal	Frontal-Parietal	7Networks_7	17Networks_17	481	253	471	#66FF00
275	L	-20.78	46.84	29.97	Frontal	rostralmiddlefrontal	Default	7Networks_7	17Networks_8	552	147	400	#FF6600
276	L	-36.73	48.33	19.24	Frontal	rostralmiddlefrontal	Frontal-Parietal	7Networks_6	17Networks_13	480	254	472	#66FF00
277	L	-10.16	35.21	-2.28	Frontal	medialorbitofrontal	Default	7Networks_7	17Networks_16	551	148	401	#FF6600
278	L	-4.27	34.3	-0.45	Frontal	rostralanteriorcingulate	Salience	7Networks_7	17Networks_16	415	432	537	#3300FF
279	L	-27.63	41.49	17.34	Frontal	rostralmiddlefrontal	Ventral-Attention-Language	7Networks_6	17Networks_13	322	616	630	#FF0033
280	L	-14.55	58.84	8.19	Frontal	rostralmiddlefrontal	Default	7Networks_7	17Networks_16	550	149	402	#FF6600
281	L	-11.95	42.92	7.33	Frontal	medialorbitofrontal	Salience	7Networks_7	17Networks_16	414	433	538	#3300FF
282	L	-5.78	41.72	8.6	Frontal	rostralanteriorcingulate	Default	7Networks_7	17Networks_16	549	150	403	#FF6600
283	L	-24.3	53.5	19.99	Frontal	rostralmiddlefrontal	Frontal-Parietal	7Networks_7	17Networks_16	479	255	473	#66FF00
284	L	-12.83	58.43	18.82	Frontal	superiorfrontal	Frontal-Parietal	7Networks_7	17Networks_16	478	256	474	#66FF00
285	L	-7.87	52.47	13.53	Frontal	superiorfrontal	Default	7Networks_7	17Networks_16	548	151	404	#FF6600
286	L	-7.09	47.69	24.43	Frontal	superiorfrontal	Default	7Networks_7	17Networks_17	547	152	405	#FF6600
287	L	-13.87	48.66	37.45	Frontal	superiorfrontal	Frontal-Parietal	7Networks_7	17Networks_17	477	257	475	#66FF00
288	L	-8.58	36.25	27.37	Frontal	superiorfrontal	Frontal-Parietal	7Networks_7	17Networks_16	476	258	476	#66FF00
289	L	-33.98	36.38	28.87	Frontal	rostralmiddlefrontal	Cingulo-opercular	7Networks_6	17Networks_8	584	51	368	#FF0000
290	L	-14.66	24.08	54.88	Frontal	superiorfrontal	Frontal-Parietal	7Networks_7	17Networks_17	475	259	477	#66FF00
291	L	-21.49	16.91	45.14	Frontal	superiorfrontal	Default	7Networks_7	17Networks_16	546	153	406	#FF6600
292	L	-33.17	31.17	38.03	Frontal	rostralmiddlefrontal	Cingulo-opercular	7Networks_4	17Networks_8	583	52	369	#FF0000
293	L	-34.38	29.48	27.34	Frontal	rostralmiddlefrontal	First-Dorsal-Attention	7Networks_6	17Networks_12	537	185	415	#FFFF00
294	L	-26.97	32.06	46.46	Frontal	rostralmiddlefrontal	Frontal-Parietal-Other	7Networks_6	17Networks_8	469	323	483	#00FF66
295	L	-32.93	11.2	52.41	Frontal	rostralmiddlefrontal	Frontal-Parietal	7Networks_7	17Networks_16	474	260	478	#66FF00
296	L	-33.32	22.05	46.04	Frontal	rostralmiddlefrontal	Frontal-Parietal	7Networks_6	17Networks_13	473	261	479	#66FF00
297	L	-42.43	18.62	38.52	Frontal	caudalmiddlefrontal	Ventral-Attention-Language	7Networks_6	17Networks_13	321	617	631	#FF0033
298	L	-42.26	2.65	-16.33	Temporal	superiortemporal	none	7Networks_5	17Networks_9	434	369	518	#00FFFF
299	L	-38.18	-23.68	5.9	Temporal	transversetemporal	Cingulo-opercular	7Networks_2	17Networks_4	582	53	370	#FF0000
300	L	-41.21	10.63	-15.76	Temporal	superiortemporal	none	7Networks_5	17Networks_9	433	370	519	#00FFFF
301	L	-45.22	-4.91	-7.36	Temporal	superiortemporal	none	7Networks_4	17Networks_4	432	371	520	#00FFFF
302	L	-49.93	5.16	-14.82	Temporal	superiortemporal	Ventral-Attention-Language	7Networks_5	17Networks_17	320	618	632	#FF0033
303	L	-51.11	4.11	-2.98	Frontal	superiortemporal	Cingulo-opercular	7Networks_2	17Networks_4	581	54	371	#FF0000
304	L	-57.19	-13.23	3.99	Temporal	transversetemporal	Cingulo-opercular	7Networks_2	17Networks_4	580	55	372	#FF0000
305	L	-47.69	-20.6	7.89	Temporal	transversetemporal	Cingulo-opercular	7Networks_2	17Networks_4	579	56	373	#FF0000
306	L	-56.19	-3.49	-3.62	Temporal	superiortemporal	Cingulo-opercular	7Networks_2	17Networks_4	578	57	374	#FF0000
307	L	-53.98	-18.25	-3.48	Temporal	superiortemporal	Ventral-Attention-Language	7Networks_7	17Networks_14	319	619	633	#FF0033
308	L	-53.44	-9.06	-13.13	Temporal	middletemporal	Default	7Networks_7	17Networks_17	545	154	407	#FF6600
309	L	-48.8	-20.84	-7.27	Temporal	middletemporal	Ventral-Attention-Language	7Networks_7	17Networks_17	318	620	634	#FF0033
310	L	-48	-26.46	-6.19	Temporal	middletemporal	Cingulo-opercular	7Networks_7	17Networks_17	577	58	375	#FF0000
311	R	6.22	-49.39	29.34	Parietal	precuneus	Default	7Networks_7	17Networks_16	65	155	65	#FF6600
312	R	15.67	-32.58	68.63	Frontal	superiorparietal	Somatomotor	7Networks_2	17Networks_3	255	545	255	#FF00CC
313	R	49.51	-3.44	46.91	Frontal	precentral	Cingulo-opercular	7Networks_2	17Networks_4	1	59	1	#FF0000
314	R	3.11	14.37	55.04	Frontal	superiorfrontal	Ventral-Attention-Language	7Networks_7	17Networks_17	304	621	304	#FF0033
315	R	28.23	-76.8	30.94	Parietal	lateraloccipital	Second-Visual	7Networks_1	17Networks_1	229	484	229	#CC00FF
316	R	44.87	-50.85	37.6	Parietal	supramarginal	Frontal-Parietal	7Networks_6	17Networks_12	100	262	100	#66FF00
317	R	40.08	43.27	16.6	Frontal	rostralmiddlefrontal	Frontal-Parietal	7Networks_6	17Networks_8	101	263	101	#66FF00
318	R	17.52	-50.76	-7.45	Occipital	lingual	Somatomotor	7Networks_1	17Networks_2	256	546	256	#FF00CC
319	R	57.64	-45.35	-11.69	Temporal	middletemporal	Frontal-Parietal	7Networks_6	17Networks_13	102	264	102	#66FF00
320	R	35.36	-24.41	17.5	Parietal	insula	Somatomotor	7Networks_2	17Networks_4	257	547	257	#FF00CC
321	R	29.28	9.03	-22.77	Temporal	superiortemporal	none	7Networks_5	17Networks_9	169	372	169	#00FFFF
322	R	5.99	-34.51	27.61	Parietal	isthmuscingulate	Parietal-Episodic-Retrieval	7Networks_6	17Networks_11	201	410	201	#0099FF
323	R	4	-51.64	17.52	Parietal	isthmuscingulate	Salience	7Networks_7	17Networks_16	213	434	213	#3300FF
324	R	5.06	-54.42	8.19	Parietal	isthmuscingulate	Parieto-Occipital	7Networks_7	17Networks_16	206	422	206	#0066FF
325	R	16.19	-53.17	3.44	Occipital	lingual	Second-Visual	7Networks_1	17Networks_2	230	485	230	#CC00FF
326	R	8.84	-58.2	-1.27	Occipital	lingual	Second-Visual	7Networks_1	17Networks_2	231	486	231	#CC00FF
327	R	20.73	-37.21	-3.64	Parietal	???	none	FreeSurfer_Defined_Medial_Wall	FreeSurfer_Defined_Medial_Wall	170	373	170	#00FFFF
328	R	11.34	-37.19	-3.84	Parietal	???	none	FreeSurfer_Defined_Medial_Wall	FreeSurfer_Defined_Medial_Wall	171	374	171	#00FFFF
329	R	5.34	-45.18	17.75	Parietal	isthmuscingulate	Parietal-Episodic-Retrieval	7Networks_7	17Networks_16	202	411	202	#0099FF
330	R	5.44	-50.14	5.72	Parietal	isthmuscingulate	Parieto-Occipital	7Networks_7	17Networks_15	207	423	207	#0066FF
331	R	10.82	-45.6	-4.87	Cerebellum	lingual	Somatomotor	7Networks_1	17Networks_2	258	548	258	#FF00CC
332	R	3.13	-35.34	33.55	Parietal	posteriorcingulate	Default	7Networks_7	17Networks_16	66	156	66	#FF6600
333	R	9.91	-23.45	42.79	Parietal	posteriorcingulate	Cingulo-opercular	7Networks_7	17Networks_11	2	60	2	#FF0000
334	R	8.3	-14.03	40.26	Frontal	posteriorcingulate	Somatomotor	7Networks_2	17Networks_3	259	549	259	#FF00CC
335	R	5.49	-14.25	51.15	Frontal	superiorfrontal	Somatomotor	7Networks_2	17Networks_3	260	550	260	#FF00CC
336	R	4.1	2.93	52.48	Frontal	superiorfrontal	Cingulo-opercular	7Networks_4	17Networks_7	3	61	3	#FF0000
337	R	5.13	21.94	43.08	Frontal	superiorfrontal	Frontal-Parietal	7Networks_6	17Networks_13	103	265	103	#66FF00
338	R	11.22	30.66	22.37	Frontal	superiorfrontal	Salience	7Networks_7	17Networks_13	214	435	214	#3300FF
339	R	2.68	29.25	17.76	Frontal	caudalanteriorcingulate	Salience	7Networks_6	17Networks_8	215	436	215	#3300FF
340	R	5.11	34.16	3.87	Frontal	medialorbitofrontal	Salience	7Networks_7	17Networks_16	216	437	216	#3300FF
341	R	8.41	4.01	43.11	Frontal	superiorfrontal	Cingulo-opercular	7Networks_4	17Networks_7	4	62	4	#FF0000
342	R	4.67	-3.45	39.48	Frontal	posteriorcingulate	Cingulo-opercular	7Networks_4	17Networks_7	5	63	5	#FF0000
343	R	3.28	-20.59	33.37	Parietal	posteriorcingulate	Parietal-Episodic-Retrieval	7Networks_6	17Networks_11	203	412	203	#0099FF
344	R	1.93	-6.26	32.78	Frontal	posteriorcingulate	none	7Networks_6	17Networks_12	172	375	172	#00FFFF
345	R	10.9	17.48	33.66	Frontal	superiorfrontal	Cingulo-opercular	7Networks_4	17Networks_8	6	64	6	#FF0000
346	R	2.37	15.91	29.61	Frontal	caudalanteriorcingulate	Cingulo-opercular	7Networks_4	17Networks_8	7	65	7	#FF0000
347	R	6.99	21.42	28.14	Frontal	caudalanteriorcingulate	Cingulo-opercular	7Networks_4	17Networks_8	8	66	8	#FF0000
348	R	8.53	-44.54	39.41	Parietal	precuneus	Default	7Networks_7	17Networks_16	67	157	67	#FF6600
349	R	6.59	-35.24	51.3	Parietal	precuneus	Cingulo-opercular	7Networks_3	17Networks_11	9	67	9	#FF0000
350	R	3.3	-37.49	59.52	Parietal	precuneus	Cingulo-opercular	7Networks_4	17Networks_7	10	68	10	#FF0000
351	R	9.13	-41.93	65.99	Parietal	superiorparietal	Somatomotor	7Networks_3	17Networks_6	261	551	261	#FF00CC
352	R	13.01	-37.92	71.9	Frontal	superiorparietal	Somatomotor	7Networks_2	17Networks_3	262	552	262	#FF00CC
353	R	8.08	-30.77	76.31	Frontal	postcentral	Somatomotor	7Networks_2	17Networks_3	263	553	263	#FF00CC
354	R	6.11	-25.94	71.18	Frontal	postcentral	Somatomotor	7Networks_2	17Networks_3	264	554	264	#FF00CC
355	R	14.69	-12.76	70.03	Frontal	precentral	Somatomotor	7Networks_2	17Networks_3	265	555	265	#FF00CC
356	R	5.5	-18.24	63.95	Frontal	precentral	Somatomotor	7Networks_2	17Networks_3	266	556	266	#FF00CC
357	R	9.15	-7.64	64.22	Frontal	superiorfrontal	Somatomotor	7Networks_4	17Networks_7	267	557	267	#FF00CC
358	R	11.96	3.53	59.8	Frontal	superiorfrontal	Cingulo-opercular	7Networks_4	17Networks_8	11	69	11	#FF0000
359	R	8.05	-33.91	65.77	Frontal	precuneus	Somatomotor	7Networks_2	17Networks_3	268	558	268	#FF00CC
360	R	12.08	-33.66	42.61	Parietal	posteriorcingulate	Cingulo-opercular	7Networks_4	17Networks_7	12	70	12	#FF0000
361	R	10.23	-32.01	53.17	Parietal	precuneus	Somatomotor	7Networks_4	17Networks_7	269	559	269	#FF00CC
362	R	12.02	-27.89	47.08	Parietal	paracentral	Cingulo-opercular	7Networks_4	17Networks_7	13	71	13	#FF0000
363	R	5.85	-1.62	61.92	Frontal	superiorfrontal	Cingulo-opercular	7Networks_4	17Networks_7	14	72	14	#FF0000
364	R	22.11	-25.27	62.67	Frontal	postcentral	Somatomotor	7Networks_2	17Networks_3	270	560	270	#FF00CC
365	R	38.92	-19.61	48.58	Frontal	precentral	Somatomotor	7Networks_2	17Networks_3	271	561	271	#FF00CC
366	R	37.73	-8.47	44.78	Frontal	precentral	Somatomotor	7Networks_2	17Networks_3	272	562	272	#FF00CC
367	R	44.47	1.21	42.84	Frontal	precentral	Ventral-Attention-Language	7Networks_4	17Networks_7	305	622	305	#FF0033
368	R	29.08	7.6	51.1	Frontal	caudalmiddlefrontal	Frontal-Parietal	7Networks_3	17Networks_5	104	266	104	#66FF00
369	R	25.74	1.33	46.82	Frontal	caudalmiddlefrontal	Frontal-Parietal	7Networks_3	17Networks_12	105	267	105	#66FF00
370	R	16.33	15.8	49.11	Frontal	superiorfrontal	Frontal-Parietal-Other	7Networks_6	17Networks_13	158	324	158	#00FF66
371	R	15.92	11.06	59.66	Frontal	superiorfrontal	Frontal-Parietal	7Networks_6	17Networks_13	106	268	106	#66FF00
372	R	10.91	15.44	60.22	Frontal	superiorfrontal	Frontal-Parietal	7Networks_7	17Networks_13	107	269	107	#66FF00
373	R	15.16	-24.35	67.97	Frontal	postcentral	Somatomotor	7Networks_2	17Networks_3	273	563	273	#FF00CC
374	R	22.21	-21.29	60.79	Frontal	precentral	Somatomotor	7Networks_2	17Networks_3	274	564	274	#FF00CC
375	R	42.79	-0.73	52.93	Frontal	precentral	Cingulo-opercular	7Networks_2	17Networks_3	15	73	15	#FF0000
376	R	34.31	-20.59	58.53	Frontal	precentral	Somatomotor	7Networks_2	17Networks_3	275	565	275	#FF00CC
377	R	11.78	-21.35	67.57	Frontal	postcentral	Somatomotor	7Networks_2	17Networks_3	276	566	276	#FF00CC
378	R	34.22	-9.66	55.93	Frontal	precentral	Second-Dorsal-Attention	7Networks_2	17Networks_3	220	449	220	#9900FF
379	R	33.73	-14.63	64.59	Frontal	precentral	Somatomotor	7Networks_2	17Networks_3	277	567	277	#FF00CC
380	R	29.38	-8.05	58.13	Frontal	precentral	Somatomotor	7Networks_2	17Networks_3	278	568	278	#FF00CC
381	R	19.79	-7.82	62.55	Frontal	precentral	Somatomotor	7Networks_2	17Networks_3	279	569	279	#FF00CC
382	R	23.84	0.81	56.2	Frontal	superiorfrontal	First-Dorsal-Attention	7Networks_3	17Networks_6	88	186	88	#FFFF00
383	R	21.87	7.24	58.12	Frontal	superiorfrontal	Frontal-Parietal-Other	7Networks_3	17Networks_6	159	325	159	#00FF66
384	R	27.21	-35.66	54.84	Parietal	superiorparietal	Somatomotor	7Networks_2	17Networks_3	280	570	280	#FF00CC
385	R	35.87	-38.31	55.51	Parietal	superiorparietal	Second-Dorsal-Attention	7Networks_2	17Networks_6	221	450	221	#9900FF
386	R	33.56	-41.88	47.79	Parietal	superiorparietal	First-Dorsal-Attention	7Networks_3	17Networks_5	89	187	89	#FFFF00
387	R	34.62	-43.64	40.1	Parietal	supramarginal	Frontal-Parietal	7Networks_3	17Networks_12	108	270	108	#66FF00
388	R	35.82	-15.61	36.22	None	postcentral	Somatomotor	7Networks_2	17Networks_4	281	571	281	#FF00CC
389	R	53.76	-18.99	42.61	Parietal	postcentral	Somatomotor	7Networks_2	17Networks_3	282	572	282	#FF00CC
390	R	47.17	-23.25	36.82	Parietal	postcentral	Second-Dorsal-Attention	7Networks_2	17Networks_6	222	451	222	#9900FF
391	R	41.8	-28.58	41.97	Parietal	supramarginal	Second-Dorsal-Attention	7Networks_3	17Networks_6	223	452	223	#9900FF
392	R	51.66	-31.94	47.62	Parietal	supramarginal	Frontal-Parietal	7Networks_4	17Networks_7	109	271	109	#66FF00
393	R	44.34	-42.91	49.57	Parietal	supramarginal	Frontal-Parietal	7Networks_6	17Networks_12	110	272	110	#66FF00
394	R	22.74	-28.71	65.9	Frontal	superiorparietal	Somatomotor	7Networks_2	17Networks_3	283	573	283	#FF00CC
395	R	31.99	-32.06	46.23	Parietal	superiorparietal	Somatomotor	7Networks_3	17Networks_6	284	574	284	#FF00CC
396	R	30.19	-32.03	59.75	Parietal	postcentral	Somatomotor	7Networks_2	17Networks_3	285	575	285	#FF00CC
397	R	39.23	-27.95	48.54	Parietal	postcentral	Somatomotor	7Networks_2	17Networks_3	286	576	286	#FF00CC
398	R	53.57	-49.24	37.88	Parietal	supramarginal	Cingulo-opercular	7Networks_6	17Networks_8	16	74	16	#FF0000
399	R	55.07	-52.2	27.37	Parietal	inferiorparietal	Cingulo-opercular	7Networks_6	17Networks_13	17	75	17	#FF0000
400	R	51.63	-47.47	17.93	Parietal	inferiorparietal	Cingulo-opercular	7Networks_7	17Networks_14	18	76	18	#FF0000
401	R	58.85	-41.04	-2.5	Temporal	bankssts	Frontal-Parietal	7Networks_7	17Networks_17	111	273	111	#66FF00
402	R	48.58	-40.18	36.04	Parietal	supramarginal	Cingulo-opercular	7Networks_4	17Networks_7	19	77	19	#FF0000
403	R	38.99	-35.92	20.77	Parietal	supramarginal	Cingulo-opercular	7Networks_2	17Networks_4	20	78	20	#FF0000
404	R	58.62	-29.87	-4.47	Temporal	middletemporal	Frontal-Parietal-Other	7Networks_7	17Networks_17	160	326	160	#00FF66
405	R	44.41	-26.65	-2.82	Temporal	superiortemporal	Cingulo-opercular	7Networks_7	17Networks_14	21	79	21	#FF0000
406	R	54.01	-21.49	-1.67	Temporal	superiortemporal	Cingulo-opercular	7Networks_2	17Networks_14	22	80	22	#FF0000
407	R	61.93	-21.15	4.21	Temporal	superiortemporal	Cingulo-opercular	7Networks_2	17Networks_4	23	81	23	#FF0000
408	R	44.68	-24.6	11.01	Temporal	superiortemporal	Cingulo-opercular	7Networks_2	17Networks_4	24	82	24	#FF0000
409	R	44.43	-44.46	7.51	Temporal	bankssts	Ventral-Attention-Language	7Networks_4	17Networks_14	306	623	306	#FF0033
410	R	50.99	-43.87	3.11	Temporal	bankssts	Ventral-Attention-Language	7Networks_7	17Networks_14	307	624	307	#FF0033
411	R	47.53	-44.53	19.75	Parietal	inferiorparietal	Cingulo-opercular	7Networks_7	17Networks_14	25	83	25	#FF0000
412	R	45.57	-34.99	0.16	Temporal	middletemporal	Default	7Networks_7	17Networks_17	68	158	68	#FF6600
413	R	58.09	-45.7	25.18	Parietal	supramarginal	Cingulo-opercular	7Networks_4	17Networks_8	26	84	26	#FF0000
414	R	43.78	-35.33	4.73	Temporal	bankssts	Cingulo-opercular	7Networks_7	17Networks_14	27	85	27	#FF0000
415	R	56.51	-35.58	19.98	Parietal	supramarginal	Cingulo-opercular	7Networks_4	17Networks_7	28	86	28	#FF0000
416	R	62.11	-35.49	8.53	Temporal	bankssts	Cingulo-opercular	7Networks_2	17Networks_14	29	87	29	#FF0000
417	R	39.67	-33.91	13.99	Temporal	superiortemporal	Cingulo-opercular	7Networks_2	17Networks_4	30	88	30	#FF0000
418	R	34.34	-21.69	4.22	Insula	insula	Cingulo-opercular	7Networks_2	17Networks_4	31	89	31	#FF0000
419	R	37.93	-14.32	-4.54	Insula	insula	Cingulo-opercular	7Networks_4	17Networks_7	32	90	32	#FF0000
420	R	35.88	-2	-10.56	Temporal	insula	Cingulo-opercular	FreeSurfer_Defined_Medial_Wall	FreeSurfer_Defined_Medial_Wall	33	91	33	#FF0000
421	R	39.26	3.84	-15.68	Temporal	superiortemporal	none	7Networks_5	17Networks_9	173	376	173	#00FFFF
422	R	45.65	31.84	6.84	Frontal	parstriangularis	Cingulo-opercular	7Networks_4	17Networks_8	34	92	34	#FF0000
423	R	52.94	23.81	2.22	Frontal	parstriangularis	Ventral-Attention-Language	7Networks_7	17Networks_17	308	625	308	#FF0033
424	R	39.23	16.12	9.95	Frontal	parsopercularis	Cingulo-opercular	7Networks_6	17Networks_8	35	93	35	#FF0000
425	R	42.84	0.81	5.01	Insula	precentral	Cingulo-opercular	7Networks_4	17Networks_7	36	94	36	#FF0000
426	R	37.2	-12	15.49	Insula	insula	Somatomotor	7Networks_2	17Networks_4	287	577	287	#FF00CC
427	R	43.66	40.25	6.65	Frontal	rostralmiddlefrontal	Cingulo-opercular	7Networks_6	17Networks_8	37	95	37	#FF0000
